close_yf,Date
25175.19921875,2024-10-28
25321.30078125,2024-10-29
25195.05078125,2024-10-30
25059.5,2024-10-31
25184.599609375,2024-11-01
24857.75,2024-11-04
25060.80078125,2024-11-05
25403.150390625,2024-11-06
25110.69921875,2024-11-07
25002.94921875,2024-11-08
25013.30078125,2024-11-11
24715.55078125,2024-11-12
24347.0,2024-11-13
24366.05078125,2024-11-14
24301.0,2024-11-18
24374.69921875,2024-11-19
24135.099609375,2024-11-21
24655.349609375,2024-11-22
24993.650390625,2024-11-25
24983.099609375,2024-11-26
25115.150390625,2024-11-27
24836.25,2024-11-28
25053.94921875,2024-11-29
25198.150390625,2024-12-02
25393.25,2024-12-03
25428.400390625,2024-12-04
25657.849609375,2024-12-05
25663.900390625,2024-12-06
25594.19921875,2024-12-09
25600.19921875,2024-12-10
25635.05078125,2024-12-11
25546.400390625,2024-12-12
25724.599609375,2024-12-13
25652.849609375,2024-12-16
25321.650390625,2024-12-17
25137.599609375,2024-12-18
24884.94921875,2024-12-19
24448.849609375,2024-12-20
